time,minute,activity_top3,delta_top3,activity_rank,delta_rank
18:05,1085,"g2,g1,g3","g1,g2,g3",1:g2;2:g1;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
18:10,1090,"g2,g1,g3","g8,g4,g6",1:g2;2:g1;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9,1:g8;2:g4;3:g6;4:g1;5:g7;6:g9;7:g3;8:g5;9:g2
18:15,1095,"g2,g4,g1","g1,g2,g3",1:g2;2:g4;3:g1;4:g3;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
18:20,1100,"g5,g4,g6","g1,g2,g3",1:g5;2:g4;3:g6;4:g1;5:g2;6:g3;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
18:25,1105,"g4,g2,g5","g2,g4,g6",1:g4;2:g2;3:g5;4:g6;5:g9;6:g1;7:g3;8:g7;9:g8,1:g2;2:g4;3:g6;4:g3;5:g1;6:g9;7:g7;8:g5;9:g8
18:30,1110,"g2,g4,g5","g1,g2,g3",1:g2;2:g4;3:g5;4:g9;5:g1;6:g3;7:g6;8:g7;9:g8,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
18:35,1115,"g2,g5,g4","g1,g2,g3",1:g2;2:g5;3:g4;4:g1;5:g3;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
18:40,1120,"g5,g1,g2","g1,g2,g3",1:g5;2:g1;3:g2;4:g3;5:g4;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
18:45,1125,"g5,g6,g1","g1,g2,g3",1:g5;2:g6;3:g1;4:g2;5:g3;6:g4;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
18:50,1130,"g5,g6,g1","g5,g4,g2",1:g5;2:g6;3:g1;4:g2;5:g3;6:g4;7:g7;8:g8;9:g9,1:g5;2:g4;3:g2;4:g9;5:g6;6:g7;7:g8;8:g1;9:g3
