signal_date,next_date,group,machine,up_up_up,right,low_conv_right,all3,score,down_down_down,next_bullish,next_close,next_high,next_low,ge3000,ge5000,ge10000,ge15000,ge20000,next_close_rank,top1,top2,top3
2026-07-02,2026-07-03,g6,042,1,1,1,1,3,0,1,17586.0,18793.0,-5156.0,True,True,True,True,False,2,False,True,True
2026-07-12,2026-07-13,g6,042,0,0,0,0,0,0,1,24661.0,26441.0,-2096.0,True,True,True,True,True,1,True,True,True
2026-07-26,2026-07-27,g6,042,1,1,1,1,3,0,1,40885.0,40885.0,0.0,True,True,True,True,True,1,True,True,True
2026-08-03,2026-08-04,g6,042,0,0,0,0,0,0,1,1724.0,3190.0,-5511.0,False,False,False,False,False,2,False,True,True
2026-08-09,2026-08-10,g6,042,0,1,0,0,1,0,1,13636.0,20826.0,0.0,True,True,True,False,False,2,False,True,True
2026-08-17,2026-08-18,g6,042,1,1,1,1,3,0,1,12402.0,18952.0,-965.0,True,True,True,False,False,2,False,True,True
2026-06-28,2026-06-29,g6,051,1,1,1,1,3,0,1,18107.0,20679.0,0.0,True,True,True,True,False,1,True,True,True
2026-07-02,2026-07-03,g6,051,0,0,0,0,0,0,1,8793.0,12414.0,0.0,True,True,False,False,False,3,False,False,True
2026-07-12,2026-07-13,g6,051,0,0,0,0,0,0,1,16283.0,17168.0,-4932.0,True,True,True,True,False,2,False,True,True
2026-07-26,2026-07-27,g6,051,0,0,0,0,0,0,0,-14933.0,0.0,-15467.0,False,False,False,False,False,4,False,False,False
2026-08-03,2026-08-04,g6,051,0,0,0,0,0,0,0,-10311.0,0.0,-10311.0,False,False,False,False,False,4,False,False,False
2026-08-09,2026-08-10,g6,051,1,1,1,1,3,0,1,14828.0,18276.0,-1600.0,True,True,True,False,False,1,True,True,True
2026-08-17,2026-08-18,g6,051,0,0,0,0,0,0,1,15284.0,17380.0,-965.0,True,True,True,True,False,1,True,True,True
