signal_date,next_date,group,machine_count,group_signal_total,group_signal_score,any_signal_machine_count,all3_machine_count,up_up_up_count,right_count,low_convergence_right_count,no_signal_machine_count,signal_machine_ratio,all3_machine_ratio,down_down_down_count,next_bullish_count,next_bullish_rate,next_close_mean,next_close_median,next_close_sum,next_high_mean,next_low_mean,next_max_close,next_max_high,next_min_low,next_any_close_gt_3000,next_any_close_gt_5000,next_any_close_gt_10000,next_any_close_gt_15000,next_any_close_gt_20000,next_any_close_gt_3000_machine_count,next_any_close_gt_5000_machine_count,next_any_close_gt_10000_machine_count,evaluated,rank
2026-08-12,2026-08-13,g7,4,4,1.0,2,0,1,2,1,2,0.5,0.0,1,2,0.5,3607.5,-201.5,14430.0,13883.0,-6624.25,25897.0,29744.0,-12426.0,True,True,True,True,True,2,2,1,True,2
2026-08-12,2026-08-13,g8,4,3,0.75,1,1,1,1,1,3,0.25,0.25,0,1,0.25,-720.75,-933.5,-2883.0,6508.75,-6866.5,9828.0,14655.0,-10844.0,True,True,False,False,False,1,1,0,True,3
2026-08-12,2026-08-13,g9,4,0,0.0,0,0,0,0,0,4,0.0,0.0,1,2,0.5,-1058.5,-2079.5,-4234.0,5883.5,-7689.0,8103.0,10517.0,-15467.0,True,True,False,False,False,1,1,0,True,9
2026-08-13,2026-08-14,g1,4,2,0.5,1,0,0,1,1,3,0.25,0.0,0,1,0.25,63.75,-1955.5,255.0,7694.0,-5266.75,14655.0,18966.0,-13867.0,True,True,True,False,False,1,1,1,True,6
2026-08-13,2026-08-14,g2,4,1,0.25,1,0,0,1,0,3,0.25,0.0,2,1,0.25,124.25,-3111.0,497.0,4827.75,-7933.5,12586.0,13621.0,-10667.0,True,True,True,False,False,1,1,1,True,7
2026-08-13,2026-08-14,g3,5,3,0.6,1,1,1,1,1,4,0.2,0.2,0,2,0.4,-2173.8,-8356.0,-10869.0,7689.6,-9422.4,14655.0,18621.0,-16356.0,True,True,True,False,False,2,2,2,True,5
2026-08-13,2026-08-14,g4,5,4,0.8,2,0,1,2,1,3,0.4,0.0,0,2,0.4,-1792.2,-5867.0,-8961.0,5576.8,-12078.6,21074.0,21074.0,-26553.0,True,True,True,True,True,1,1,1,True,4
2026-08-13,2026-08-14,g5,5,5,1.0,2,1,1,2,2,3,0.4,0.2,0,2,0.4,-1861.8,-5956.0,-9309.0,5448.2,-7342.0,11207.0,12931.0,-16533.0,True,True,True,False,False,2,2,1,True,1
2026-08-13,2026-08-14,g6,4,0,0.0,0,0,0,0,0,4,0.0,0.0,1,2,0.5,-4971.25,-1316.0,-19885.0,3103.25,-11491.25,8534.0,9310.0,-25787.0,True,True,False,False,False,1,1,0,True,8
2026-08-13,2026-08-14,g7,4,0,0.0,0,0,0,0,0,4,0.0,0.0,0,4,1.0,8706.75,9224.0,34827.0,12737.0,-3289.0,13103.0,15345.0,-7822.0,True,True,True,False,False,4,3,1,True,9
2026-08-13,2026-08-14,g8,4,4,1.0,2,0,0,2,2,2,0.5,0.0,0,2,0.5,5509.5,585.0,22038.0,12227.75,-4335.5,28512.0,29256.0,-7911.0,True,True,True,True,True,2,2,1,True,2
2026-08-13,2026-08-14,g9,4,4,1.0,2,0,1,2,1,2,0.5,0.0,0,1,0.25,-5623.5,-7155.5,-22494.0,2069.0,-8955.5,3017.0,4828.0,-13511.0,True,False,False,False,False,1,0,0,True,3
2026-08-14,2026-08-15,g1,4,1,0.25,1,0,1,0,0,3,0.25,0.0,0,0,0.0,-9155.5,-7555.5,-36622.0,1659.5,-11822.0,-5867.0,3793.0,-15644.0,False,False,False,False,False,0,0,0,True,6
2026-08-14,2026-08-15,g2,4,2,0.5,1,0,0,1,1,3,0.25,0.0,0,2,0.5,-2202.75,-5198.5,-8811.0,7241.25,-10978.0,17586.0,17931.0,-17600.0,True,True,True,True,False,1,1,1,True,3
2026-08-14,2026-08-15,g3,5,2,0.4,1,0,0,1,1,4,0.2,0.0,0,4,0.8,7575.4,8621.0,37877.0,12147.6,-8057.6,30769.0,34359.0,-25532.0,True,True,True,True,True,3,3,2,True,5
2026-08-14,2026-08-15,g4,5,3,0.6,2,0,1,1,1,3,0.4,0.0,0,1,0.2,-6119.6,-8711.0,-30598.0,8908.6,-12554.6,16860.0,18678.0,-22213.0,True,True,True,True,False,1,1,1,True,2
2026-08-14,2026-08-15,g5,5,0,0.0,0,0,0,0,0,5,0.0,0.0,2,1,0.2,-10071.6,-13333.0,-50358.0,1793.0,-13955.6,4397.0,5862.0,-24000.0,True,False,False,False,False,1,0,0,True,8
2026-08-14,2026-08-15,g6,4,1,0.25,1,0,1,0,0,3,0.25,0.0,0,1,0.25,-1930.25,-5244.5,-7721.0,8889.25,-10457.5,19835.0,21074.0,-17067.0,True,True,True,True,False,1,1,1,True,7
2026-08-14,2026-08-15,g7,4,0,0.0,0,0,0,0,0,4,0.0,0.0,0,2,0.5,-4863.5,-391.5,-19454.0,3556.25,-11793.75,4052.0,7845.0,-26553.0,True,False,False,False,False,1,0,0,True,9
2026-08-14,2026-08-15,g8,4,2,0.5,1,0,0,1,1,3,0.25,0.0,2,1,0.25,-10091.5,-8444.5,-40366.0,5194.0,-12327.75,1034.0,14483.0,-24511.0,False,False,False,False,False,0,0,0,True,4
2026-08-14,2026-08-15,g9,4,4,1.0,2,0,0,2,2,2,0.5,0.0,1,2,0.5,-3178.0,-6408.0,-12712.0,10064.5,-11605.25,24359.0,30000.0,-25532.0,True,True,True,True,True,1,1,1,True,1
2026-08-15,2026-08-16,g1,4,4,1.0,2,0,0,2,2,2,0.5,0.0,0,0,0.0,-13853.5,-16533.5,-55414.0,1185.25,-14675.5,-1156.0,4741.0,-21191.0,False,False,False,False,False,0,0,0,True,1
2026-08-15,2026-08-16,g2,4,3,0.75,1,1,1,1,1,3,0.25,0.25,0,2,0.5,-769.0,2041.0,-3076.0,8103.25,-9555.75,12931.0,16207.0,-20089.0,True,True,True,False,False,2,2,1,True,3
2026-08-15,2026-08-16,g3,5,2,0.4,1,0,0,1,1,4,0.2,0.0,0,2,0.4,2211.0,-1156.0,11055.0,6398.2,-7266.8,16860.0,21818.0,-14578.0,True,True,True,True,False,2,1,1,True,9
2026-08-15,2026-08-16,g4,5,4,0.8,2,0,0,2,2,3,0.4,0.0,0,4,0.8,16140.0,15690.0,80700.0,19389.0,-5233.8,35938.0,40104.0,-16889.0,True,True,True,True,True,4,4,4,True,2
2026-08-15,2026-08-16,g5,5,3,0.6,2,0,1,1,1,3,0.4,0.0,1,2,0.4,1177.2,-5511.0,5886.0,5624.6,-9281.0,22562.0,23554.0,-14222.0,True,True,True,True,True,1,1,1,True,4
2026-08-15,2026-08-16,g6,4,2,0.5,1,0,0,1,1,3,0.25,0.0,1,2,0.5,742.75,-3825.0,2971.0,7478.5,-7377.75,18621.0,19655.0,-10311.0,True,True,True,True,False,1,1,1,True,5
2026-08-15,2026-08-16,g7,4,2,0.5,1,0,0,1,1,3,0.25,0.0,1,1,0.25,259.75,-3644.5,1039.0,6961.25,-7400.0,15172.0,19828.0,-11556.0,True,True,True,True,False,1,1,1,True,6
2026-08-15,2026-08-16,g8,4,2,0.5,2,0,2,0,0,2,0.5,0.0,0,0,0.0,-9289.0,-9333.5,-37156.0,2047.5,-13244.5,-3556.0,4138.0,-16889.0,False,False,False,False,False,0,0,0,True,7
2026-08-15,2026-08-16,g9,4,2,0.5,1,0,0,1,1,3,0.25,0.0,0,3,0.75,4948.0,4132.5,19792.0,10067.0,-9311.5,12149.0,23058.0,-21957.0,True,True,True,False,False,2,2,1,True,8
2026-08-16,2026-08-17,g1,4,6,1.5,3,1,2,2,2,1,0.75,0.25,0,4,1.0,10367.5,8752.0,41470.0,12769.0,-7341.5,18966.0,19655.0,-13277.0,True,True,True,True,False,4,3,2,True,2
2026-08-16,2026-08-17,g2,4,0,0.0,0,0,0,0,0,4,0.0,0.0,2,2,0.5,-4289.25,-4091.5,-17157.0,5754.5,-8844.5,8448.0,11207.0,-17422.0,True,True,False,False,False,2,1,0,True,7
2026-08-16,2026-08-17,g3,5,0,0.0,0,0,0,0,0,5,0.0,0.0,1,2,0.4,-9151.8,-11022.0,-45759.0,4999.8,-15706.0,14483.0,15172.0,-38442.0,True,True,True,False,False,2,2,1,True,8
2026-08-16,2026-08-17,g4,5,0,0.0,0,0,0,0,0,5,0.0,0.0,1,1,0.2,-6209.4,-8533.0,-31047.0,3465.4,-12475.6,15690.0,16379.0,-24511.0,True,True,True,True,False,1,1,1,True,9
2026-08-16,2026-08-17,g5,5,4,0.8,2,0,0,2,2,3,0.4,0.0,1,2,0.4,-1504.2,-3822.0,-7521.0,5551.8,-6311.2,11034.0,11724.0,-12800.0,True,True,True,False,False,2,1,1,True,3
2026-08-16,2026-08-17,g6,4,2,0.5,1,0,0,1,1,3,0.25,0.0,0,2,0.5,2550.5,1478.0,10202.0,7561.5,-8027.25,20579.0,24298.0,-13511.0,True,True,True,True,True,2,1,1,True,4
2026-08-16,2026-08-17,g7,4,2,0.5,1,0,0,1,1,3,0.25,0.0,0,1,0.25,-6694.75,-10933.5,-26779.0,2931.0,-10800.0,9310.0,10345.0,-14222.0,True,True,False,False,False,1,1,0,True,5
2026-08-16,2026-08-17,g8,4,7,1.75,4,0,0,4,3,0,1.0,0.0,0,1,0.25,2179.5,-2578.0,8718.0,9102.75,-7133.5,21074.0,27273.0,-17067.0,True,True,True,True,True,1,1,1,True,1
2026-08-16,2026-08-17,g9,4,2,0.5,1,0,0,1,1,3,0.25,0.0,0,1,0.25,-2686.0,-4400.0,-10744.0,3577.75,-5644.5,5345.0,7845.0,-8356.0,True,True,False,False,False,1,1,0,True,6
