signal_date,next_date,group,condition_rank_top3,condition_all3,condition_direction_positive,condition_all3_combined,next_strong3000,next_strong5000,next_strong10000,next_strong15000,next_strong20000,next_strong5000_count,next_strong10000_count,next_max_close,next_max_high,evaluated
2026-08-05,2026-08-06,g8,0,0,0,0,True,True,False,False,False,1,0,9655.0,16724.0,True
2026-08-05,2026-08-06,g9,1,0,1,0,True,True,True,False,False,2,2,13448.0,13448.0,True
2026-08-06,2026-08-07,g1,1,0,0,0,True,True,True,True,True,1,1,40104.0,42188.0,True
2026-08-06,2026-08-07,g2,0,0,0,0,True,True,False,False,False,1,0,5862.0,14310.0,True
2026-08-06,2026-08-07,g3,0,0,0,0,True,True,True,False,False,2,1,12069.0,15000.0,True
2026-08-06,2026-08-07,g4,0,0,0,0,True,True,False,False,False,1,0,7414.0,7759.0,True
2026-08-06,2026-08-07,g5,0,0,0,0,True,True,False,False,False,1,0,7845.0,8362.0,True
2026-08-06,2026-08-07,g6,0,0,1,0,True,True,True,True,False,3,2,17759.0,18448.0,True
2026-08-06,2026-08-07,g7,1,0,0,0,True,True,False,False,False,2,0,7931.0,12759.0,True
2026-08-06,2026-08-07,g8,1,1,1,1,True,True,True,True,False,4,3,16552.0,16897.0,True
2026-08-06,2026-08-07,g9,0,0,0,0,True,True,True,False,False,1,1,12759.0,13276.0,True
2026-08-07,2026-08-08,g1,1,1,0,0,True,True,True,False,False,1,1,10000.0,18496.0,True
2026-08-07,2026-08-08,g2,1,0,0,0,True,True,True,False,False,3,2,13097.0,14779.0,True
2026-08-07,2026-08-08,g3,0,0,0,0,True,True,False,False,False,1,0,9646.0,14602.0,True
2026-08-07,2026-08-08,g4,0,0,0,0,False,False,False,False,False,0,0,-2793.0,2522.0,True
2026-08-07,2026-08-08,g5,0,0,0,0,True,True,True,False,False,1,1,13097.0,15575.0,True
2026-08-07,2026-08-08,g6,1,0,0,0,True,True,True,True,True,1,1,23311.0,25377.0,True
2026-08-07,2026-08-08,g7,0,0,0,0,True,True,True,False,False,2,1,14043.0,20426.0,True
2026-08-07,2026-08-08,g8,0,0,0,0,True,True,True,True,True,2,1,36590.0,37639.0,True
2026-08-07,2026-08-08,g9,0,0,0,0,False,False,False,False,False,0,0,-6712.0,841.0,True
2026-08-08,2026-08-09,g1,1,0,0,0,True,True,True,True,True,1,1,23058.0,24298.0,True
2026-08-08,2026-08-09,g2,1,0,0,0,True,False,False,False,False,0,0,3276.0,11724.0,True
2026-08-08,2026-08-09,g3,0,0,0,0,True,True,False,False,False,1,0,5345.0,10345.0,True
2026-08-08,2026-08-09,g4,0,0,0,0,True,True,False,False,False,1,0,6552.0,7586.0,True
2026-08-08,2026-08-09,g5,0,0,0,0,True,True,True,True,True,2,1,29487.0,30256.0,True
2026-08-08,2026-08-09,g6,1,0,0,0,True,True,True,False,False,1,1,14828.0,15690.0,True
2026-08-08,2026-08-09,g7,0,0,0,0,True,True,True,False,False,1,1,13793.0,16724.0,True
2026-08-08,2026-08-09,g8,0,0,0,0,True,True,True,False,False,1,1,14655.0,19310.0,True
2026-08-08,2026-08-09,g9,0,0,0,0,True,False,False,False,False,0,0,3793.0,6207.0,True
2026-08-09,2026-08-10,g1,0,0,1,0,True,True,True,False,False,1,1,10862.0,12759.0,True
2026-08-09,2026-08-10,g2,1,0,1,0,True,True,True,True,False,2,2,19655.0,19655.0,True
2026-08-09,2026-08-10,g3,1,0,0,0,True,True,True,True,True,2,2,30769.0,34615.0,True
2026-08-09,2026-08-10,g4,0,0,0,0,False,False,False,False,False,0,0,2931.0,11724.0,True
2026-08-09,2026-08-10,g5,0,0,0,0,True,True,True,True,True,3,2,23846.0,24231.0,True
2026-08-09,2026-08-10,g6,1,1,1,1,True,True,True,False,False,2,2,14828.0,20826.0,True
2026-08-09,2026-08-10,g7,0,0,0,0,True,True,True,True,False,1,1,16379.0,16379.0,True
2026-08-09,2026-08-10,g8,0,0,0,0,True,True,True,True,False,1,1,15345.0,15345.0,True
2026-08-09,2026-08-10,g9,0,0,1,0,True,True,True,True,True,2,1,22810.0,23306.0,True
2026-08-10,2026-08-11,g1,1,0,0,0,True,True,True,True,True,3,2,58125.0,58125.0,True
2026-08-10,2026-08-11,g2,0,0,0,0,True,True,True,False,False,2,2,12241.0,14828.0,True
2026-08-10,2026-08-11,g3,1,0,1,0,True,True,True,False,False,3,2,12893.0,13966.0,True
2026-08-10,2026-08-11,g4,0,0,0,0,True,True,True,True,False,1,1,17414.0,19310.0,True
2026-08-10,2026-08-11,g5,0,0,0,0,True,True,False,False,False,1,0,5690.0,12241.0,True
2026-08-10,2026-08-11,g6,0,0,0,0,True,True,True,False,False,1,1,13884.0,13884.0,True
2026-08-10,2026-08-11,g7,0,0,0,0,True,True,False,False,False,1,0,5000.0,15000.0,True
2026-08-10,2026-08-11,g8,0,0,0,0,True,True,True,True,True,1,1,20331.0,22314.0,True
2026-08-10,2026-08-11,g9,1,0,1,0,True,True,False,False,False,1,0,9483.0,11207.0,True
2026-08-11,2026-08-12,g1,0,0,0,0,False,False,False,False,False,0,0,1207.0,7759.0,True
2026-08-11,2026-08-12,g2,0,0,0,0,True,True,True,False,False,1,1,14628.0,20083.0,True
2026-08-11,2026-08-12,g3,1,0,0,0,True,True,True,False,False,1,1,13276.0,13276.0,True
2026-08-11,2026-08-12,g4,0,0,0,0,True,True,True,False,False,1,1,13621.0,18276.0,True
2026-08-11,2026-08-12,g5,0,0,0,0,True,True,True,True,False,2,1,16724.0,19138.0,True
2026-08-11,2026-08-12,g6,0,0,0,0,False,False,False,False,False,0,0,1724.0,3879.0,True
2026-08-11,2026-08-12,g7,1,1,1,1,True,True,True,True,False,2,2,17851.0,22314.0,True
2026-08-11,2026-08-12,g8,0,0,1,0,True,True,True,True,False,1,1,16364.0,22314.0,True
2026-08-11,2026-08-12,g9,1,0,0,0,True,True,False,False,False,1,0,9483.0,13103.0,True
2026-08-12,2026-08-13,g1,0,0,0,0,True,True,False,False,False,2,0,8430.0,12414.0,True
2026-08-12,2026-08-13,g2,0,0,0,0,True,True,True,True,False,2,1,17241.0,18621.0,True
2026-08-12,2026-08-13,g3,0,0,0,0,True,True,True,True,False,2,1,15172.0,19483.0,True
2026-08-12,2026-08-13,g4,1,1,0,0,True,False,False,False,False,0,0,4483.0,8103.0,True
2026-08-12,2026-08-13,g5,0,0,0,0,True,True,True,True,False,1,1,16034.0,18448.0,True
2026-08-12,2026-08-13,g6,0,0,0,0,False,False,False,False,False,0,0,690.0,3793.0,True
2026-08-12,2026-08-13,g7,1,0,0,0,True,True,True,True,True,2,1,25897.0,29744.0,True
2026-08-12,2026-08-13,g8,1,1,1,1,True,True,False,False,False,1,0,9828.0,14655.0,True
2026-08-12,2026-08-13,g9,0,0,0,0,True,True,False,False,False,1,0,8103.0,10517.0,True
2026-08-13,2026-08-14,g1,0,0,0,0,True,True,True,False,False,1,1,14655.0,18966.0,True
2026-08-13,2026-08-14,g2,0,0,0,0,True,True,True,False,False,1,1,12586.0,13621.0,True
2026-08-13,2026-08-14,g3,0,1,1,0,True,True,True,False,False,2,2,14655.0,18621.0,True
2026-08-13,2026-08-14,g4,0,0,1,0,True,True,True,True,True,1,1,21074.0,21074.0,True
