date,machine,n_observations,n_fft,status,open,high,low,close,bullish,next_day_bullish,long_k,long_frequency,long_period,long_amplitude,long_power,long_rank,mid_k,mid_frequency,mid_period,mid_amplitude,mid_power,mid_rank,short_k,short_frequency,short_period,short_amplitude,short_power,short_rank,long_period_change,long_period_change_pct,mid_period_change,mid_period_change_pct,short_period_change,short_period_change_pct,period_stability_score,regime,dominant_rank_signature,component_reorder,n_fft_changed,long_repeat_period,mid_repeat_period,short_repeat_period,joint_repeat_period,joint_repeat_stable_count,asof_long_phase,asof_mid_phase,asof_short_phase,asof_phase_alignment_score,asof_phase_convergence_score,asof_centroid_region,full_fft_alignment_score,full_fft_convergence_score,full_fft_centroid_region
2026-08-04,049,39,64,TRANSITION,0.0,862.0,-13333.0,-13333.0,False,True,16,0.25,4.0,8672.768595642056,0.11733157424290291,1,27,0.421875,2.3703703703703702,7603.956218758835,0.090194196783571,3,28,0.4375,2.2857142857142856,8344.778087416435,0.10862479353236165,2,0.0,0.0,0.08465608465608465,0.037037037037037035,0.2857142857142856,0.1428571428571428,0.7601410934744269,TRANSITION,1-3-2,True,False,4,64,16,64,1,150.99470573529834,104.47770461565233,338.585956942512,0.36837417708954406,0.3004328107297991,RIGHT,0.3665051679440245,0.3068476280565916,RIGHT
2026-08-05,049,40,64,STABLE,0.0,15345.0,-2489.0,14310.0,True,False,16,0.25,4.0,8817.390860358424,0.12084653339070744,1,27,0.421875,2.3703703703703702,7955.404500607608,0.0983735954217406,3,28,0.4375,2.2857142857142856,8290.928655463118,0.10684651642184761,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STABLE,1-3-2,False,False,4,64,16,64,2,236.26235572332052,256.22810299187586,134.8462601985275,0.6184613698960599,0.26129031533959146,TOP,0.49990390775170596,0.24310660020371855,TOP
2026-08-06,049,41,64,STABLE,0.0,0.0,-6311.0,-6222.0,False,False,16,0.25,4.0,8804.675929959625,0.12663644670821358,1,27,0.421875,2.3703703703703702,7837.573813614142,0.10034488804849444,3,28,0.4375,2.2857142857142856,8219.996412424076,0.11037614472790773,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STABLE,1-3-2,False,False,4,64,16,64,3,327.00919766905827,52.4857656133654,288.30712562272583,0.6320161020105608,0.49164185964754137,BOTTOM,0.4768925927263172,0.376461475947962,BOTTOM
2026-08-07,049,42,64,STABLE,0.0,0.0,-8178.0,-3556.0,False,False,16,0.25,4.0,8634.061890235622,0.12771521465227026,1,27,0.421875,2.3703703703703702,7664.493979298939,0.10064200902336524,3,28,0.4375,2.2857142857142856,7961.3781537255145,0.10858974875916473,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STABLE,1-3-2,False,False,4,64,16,64,4,56.592202247280966,210.26122634911735,79.65216464008336,0.44044280221464954,0.2626240385150701,RIGHT,0.3476372792581979,0.25954326451207843,RIGHT
2026-08-08,049,43,64,STABLE,0.0,2522.0,-7207.0,-7027.0,False,True,16,0.25,4.0,8259.134196555293,0.12255168514327675,1,27,0.421875,2.3703703703703702,7363.597233234711,0.09741600015620697,3,28,0.4375,2.2857142857142856,7983.201989731316,0.11449973398931174,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STABLE,1-3-2,False,False,4,64,16,64,5,145.8349109163546,7.5748842578314,232.83647736656167,0.1507490553715803,0.3528026529294793,TOP,0.24860369747385733,0.3161396647101169,TOP
2026-08-09,049,44,64,STABLE,0.0,1034.0,-15111.0,517.0,True,True,16,0.25,4.0,8144.367981612074,0.12467637810245767,1,27,0.421875,2.3703703703703702,7060.613416239314,0.0937031668429947,3,28,0.4375,2.2857142857142856,7945.4157036074575,0.11865953726699294,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STABLE,1-3-2,False,False,4,64,16,64,6,234.96044685206834,165.31571645988242,25.215371476036125,0.21727081742266088,0.3185350243653736,TOP,0.2922328998145339,0.29195933117035733,TOP
2026-08-10,049,45,64,STABLE,0.0,4655.0,-5333.0,2931.0,True,False,16,0.25,4.0,7754.130887199329,0.11739728820525178,1,27,0.421875,2.3703703703703702,7138.30985460019,0.09949072630049442,3,28,0.4375,2.2857142857142856,7580.064593153858,0.11218573124747314,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STABLE,1-3-2,False,False,4,64,16,64,7,324.01527476927095,321.69386549992396,177.1573936986033,0.43394246543863024,0.28995548705220087,LEFT,0.34317896063020953,0.2752901908493326,LEFT
2026-08-11,049,46,64,STABLE,0.0,0.0,-10133.0,-7111.0,False,False,16,0.25,4.0,7702.0946070192895,0.12060020610211984,1,27,0.421875,2.3703703703703702,7158.265944283327,0.10417080273074315,3,28,0.4375,2.2857142857142856,7317.547529893694,0.1088582770456101,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STABLE,1-3-2,False,False,4,64,16,64,8,52.786463568384534,117.88426016400172,329.8362770024569,0.5153879516270317,0.371530939599511,RIGHT,0.3288319726267747,0.2894634163977511,RIGHT
2026-08-12,049,47,64,STABLE,0.0,0.0,-3733.0,-3733.0,False,True,16,0.25,4.0,7512.318462987742,0.1198223565781009,1,27,0.421875,2.3703703703703702,6989.214941978694,0.10371621743388167,3,28,0.4375,2.2857142857142856,7164.938824138176,0.10899707646851264,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STABLE,1-3-2,False,False,4,64,16,64,9,142.64327014899845,275.6498272779536,121.48553369736783,0.4347313035800014,0.24849546846727588,TOP,0.31493500951131587,0.25452329240176963,RIGHT
2026-08-13,049,48,64,STABLE,0.0,5000.0,-6933.0,948.0,True,True,16,0.25,4.0,7446.025563513355,0.12266325726272902,1,27,0.421875,2.3703703703703702,6830.758864126138,0.10322938878850542,3,28,0.4375,2.2857142857142856,6972.869438353507,0.10756934250307564,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STABLE,1-3-2,False,False,4,64,16,64,10,231.6133141683822,74.41628475990638,271.9835510317953,0.2931319618079038,0.25422824569843083,LEFT,0.3752986171727841,0.245443028203572,TOP
