date,machine,long_phase,mid_phase,short_phase,long_x,long_y,mid_x,mid_y,short_x,short_y,distance_long_mid,distance_mid_short,distance_short_long,mean_pair_distance,max_pair_distance,min_pair_distance,convergence_score,phase_convergence,centroid_x,centroid_y,centroid_region,bullish,next_day_bullish,wave_direction_pattern,target_date,next_close,next_open,next_high,next_low,prev_open,prev_high,prev_low,prev_close,prev_range,prev_close_low,prev_high_close,prev_bullish,convergence_delta,convergence_change,convergence_bin,convergence_0_7_plus,convergence_0_8_plus,high_falling,high_rising,phase_cluster,regime,region,close_gt_3000,close_gt_5000,close_gt_10000,close_lt_minus3000,close_lt_minus5000,close_lt_minus10000,abs_close_gt_5000,abs_close_gt_10000
2026-07-10,075,92.56072945447136,312.12524416200193,295.1100753467879,379.3503886861437,186.45121717661297,258.06844006453406,227.92164348163357,241.6675907497342,217.33740669595974,128.17607935716748,19.519578032887452,141.1046049943912,96.2667541281487,141.1046049943912,19.519578032887452,0.3586154318436764,False,293.0288065001373,210.57008911806875,BOTTOM,True,True,UP-DOWN-DOWN,2026-07-11,1034.0,0.0,7759.0,-4800.0,0.0,0.0,-4089.0,-4089.0,4089.0,0.0,4089.0,False,0.07569567065264582,rising,low,False,False,False,False,low,INSUFFICIENT_HISTORY,BOTTOM,False,False,False,False,False,False,False,False
2026-07-11,075,227.5607294544718,329.000244162002,58.86007534678788,226.50042275575208,122.79322478262526,273.9544125379666,233.34755524034563,352.5970605154384,221.7785839382791,120.30852475699866,79.48903809895162,160.30740276565936,120.03498854053656,160.30740276565936,79.48903809895162,0.2713299874288211,False,284.3506319363857,192.6397879870833,LEFT,True,True,DOWN-DOWN-UP,2026-07-12,7931.0,0.0,12241.0,-2133.0,0.0,7759.0,-4800.0,1034.0,12559.0,5834.0,6725.0,True,-0.0872854444148553,falling,low,False,False,False,False,low,INSUFFICIENT_HISTORY,LEFT,True,True,False,False,False,False,True,False
2026-07-12,075,2.5607294544711294,345.875244162002,182.61007534678788,302.05662867285565,235.98598806855688,288.5383392370614,235.54748357737378,294.99225978896555,80.14727957560882,13.525399641367141,155.53416503868357,155.99874477853248,108.35276981952774,155.99874477853248,13.525399641367141,0.290914796461216,False,295.1957425662942,183.89358374051315,TOP,True,True,UP-DOWN-DOWN,2026-07-13,2743.0,0.0,6549.0,-3379.0,0.0,12241.0,-2133.0,7931.0,14374.0,10064.0,4310.0,True,0.0195848090323949,rising,low,False,False,False,False,low,INSUFFICIENT_HISTORY,TOP,False,False,False,False,False,False,False,False
2026-07-13,075,137.56072945447158,2.750244162001991,306.36007534678765,368.571175834962,115.00826860522105,302.2089582551961,235.9838320943766,252.4638909420751,224.9955396990661,137.98199478056148,50.94422726621512,159.93155225867397,116.28592476848353,159.93155225867397,50.94422726621512,0.2730383988242092,False,307.74800834407773,191.99588013288792,RIGHT,False,False,DOWN-UP-UP,2026-07-14,-5946.0,0.0,2743.0,-5946.0,0.0,6549.0,-3379.0,2743.0,9928.0,6122.0,3806.0,True,-0.01787639763700677,falling,low,False,False,False,False,low,INSUFFICIENT_HISTORY,RIGHT,False,False,False,True,True,False,True,False
2026-07-14,075,272.56072945447113,19.625244162001934,70.11007534678765,223.5061660819743,193.4210292904424,316.0742040829067,235.0787499268437,363.10971014388195,212.83284498170255,101.50964165025174,52.03094384345046,140.9466853213528,98.16242360501833,140.9466853213528,52.03094384345046,0.3593332485393055,False,300.89669343625434,213.7775413996629,BOTTOM,True,True,DOWN-UP-UP,2026-07-15,1034.0,0.0,3879.0,-1422.0,0.0,2743.0,-5946.0,-5946.0,8689.0,0.0,8689.0,False,0.08629484971509627,rising,low,False,False,False,False,low,INSUFFICIENT_HISTORY,BOTTOM,False,False,False,False,False,False,False,False
2026-07-15,075,47.560729454471584,36.500244162001934,193.86007534678765,341.6273307771919,228.0633299854933,331.09552859710556,232.02282054532918,273.87252282027833,84.10739461082798,11.251507572494491,158.59837836346156,159.10381934722076,109.65123509439228,159.10381934722076,11.251507572494491,0.2768008211489965,False,315.5317940648586,181.39784838055016,RIGHT,False,False,UP-UP-DOWN,2026-07-16,-2044.0,0.0,7931.0,-6578.0,0.0,3879.0,-1422.0,1034.0,5301.0,2456.0,2845.0,True,-0.08253242739030897,falling,low,False,False,False,False,low,INSUFFICIENT_HISTORY,RIGHT,False,False,False,False,False,False,False,False
2026-07-16,075,182.56072945447113,53.375244162001934,317.61007534678765,295.0868165590265,80.14176546438743,347.2785610584298,225.14386295174515,263.34818273058164,230.15303933601666,154.10900839867924,84.07972558414104,153.33206828933422,130.50693409071815,154.10900839867924,84.07972558414104,0.2995045072787308,False,301.90452011601263,178.4795559173831,TOP,False,False,DOWN-UP-UP,2026-07-17,-15467.0,0.0,0.0,-17600.0,0.0,7931.0,-6578.0,-2044.0,14509.0,4534.0,9975.0,False,0.02270368612973428,rising,low,False,False,False,False,low,INSUFFICIENT_HISTORY,TOP,False,False,False,True,True,True,True,True
2026-07-17,075,317.5607294544716,70.25024416200193,81.36007534678765,263.3010706320935,230.13517662666072,363.23469520912977,212.70327123807542,372.36222637570694,200.9953397574543,101.44259779097051,14.845453336013572,112.8869602075309,76.39167044483833,112.8869602075309,14.845453336013572,0.4868774536021323,False,332.9659974056434,214.61126254073017,RIGHT,False,False,UP-UP-UP,2026-07-18,-11911.0,0.0,0.0,-17244.0,0.0,0.0,-17600.0,-15467.0,17600.0,2133.0,15467.0,False,0.1873729463234015,rising,low,False,False,False,False,low,TRANSITION,RIGHT,False,False,False,True,True,True,True,True
2026-07-18,075,92.56072945447158,87.12524416200199,205.11007534678765,379.35038868614384,186.45121717661263,376.2989676859095,193.83143659667672,254.60388702622873,93.1340218255335,7.986163585161684,157.95462006018644,155.78763951154363,107.24280771896393,157.95462006018644,7.986163585161684,0.28202445427187983,False,336.7510811327607,157.80555853294095,RIGHT,True,True,UP-UP-DOWN,2026-07-19,5690.0,0.0,8793.0,-7111.0,0.0,0.0,-17244.0,-11911.0,17244.0,5333.0,11911.0,False,-0.20485299933025247,falling,low,False,False,False,False,low,TRANSITION,RIGHT,True,True,False,False,False,False,True,False
2026-07-19,075,227.56072945447113,104.00024416200199,328.86007534678765,226.50042275575285,122.79322478262435,383.19465164417795,169.25686709061335,273.8275519698466,233.31828742126382,163.43791305404906,126.74789176138358,120.23163739599782,136.80581407047683,163.43791305404906,120.23163739599782,0.25710039520886785,False,294.50754212325916,175.1227930981672,TOP,True,True,DOWN-UP-UP,2026-07-20,16379.0,0.0,18621.0,-3733.0,0.0,8793.0,-7111.0,5690.0,15904.0,12801.0,3103.0,True,-0.024924059063011983,falling,low,False,False,False,False,low,TRANSITION,TOP,True,True,True,False,False,False,True,True
2026-07-20,075,2.560729454471584,120.87524416200193,92.61007534678765,302.056628672856,235.98598806855688,381.0406798792552,141.54569872797862,379.3748062032666,186.3816243491147,123.11559038443195,44.866862620517594,91.86236158860059,86.61493819785005,123.11559038443195,44.866862620517594,0.4403836800707639,False,354.15737158512593,187.9711037152167,RIGHT,True,True,UP-UP-UP,2026-07-21,29504.0,0.0,29504.0,-3830.0,0.0,18621.0,-3733.0,16379.0,22354.0,20112.0,2242.0,True,0.18328328486189605,rising,low,False,False,False,False,low,UNSTABLE,RIGHT,True,True,True,False,False,False,True,True
2026-07-21,075,137.56072945447113,137.750244162002,216.36007534678765,368.57117583496256,115.00826860522162,368.37069104035083,114.72909478921476,238.47924020806272,106.43342060319827,0.34370361129080096,130.1560878695932,130.37422956018284,86.95800701368894,130.37422956018284,0.34370361129080096,0.4073898656355326,False,325.140369027792,112.05692799921155,TOP,True,True,DOWN-UP-DOWN,2026-07-22,13448.0,0.0,14310.0,-2133.0,0.0,29504.0,-3830.0,29504.0,33334.0,33334.0,0.0,True,-0.032993814435231306,falling,low,False,False,False,False,low,UNSTABLE,TOP,True,True,True,False,False,False,True,True
2026-07-22,075,272.5607294544716,154.625244162002,340.11007534678765,223.5061660819743,193.42102929044302,345.8160888820436,93.40172222017648,283.7007239424981,235.05100386607006,157.99866772278548,154.67009262417412,73.18770101042456,128.6188204524614,157.99866772278548,73.18770101042456,0.28182423762370234,False,284.34099296883863,173.95791845889653,TOP,True,True,DOWN-UP-UP,2026-07-23,4828.0,0.0,10345.0,-1600.0,0.0,14310.0,-2133.0,13448.0,16443.0,15581.0,862.0,True,-0.12556562801183024,falling,low,False,False,False,False,low,TRANSITION,TOP,True,False,False,False,False,False,False,False
2026-07-23,075,47.56072945447113,171.500244162002,103.86007534678765,341.62733077719156,228.06332998549362,316.20662219557727,81.55579756351298,383.1713784833465,169.47865872840416,148.69656849157303,110.52017055769075,71.81971599855099,110.34548501593827,148.69656849157303,71.81971599855099,0.32410650685648623,False,347.0017771520384,159.69926209247026,RIGHT,True,True,UP-UP-UP,2026-07-24,28264.0,0.0,28264.0,-4596.0,0.0,10345.0,-1600.0,4828.0,11945.0,6428.0,5517.0,True,0.04228226923278389,rising,low,False,False,False,False,low,STABLE,RIGHT,True,True,True,False,False,False,True,True
2026-07-24,075,182.56072945447158,188.37524416200188,227.61007534678765,295.08681655902564,80.14176546438748,284.02759395476335,81.51073953805425,226.4575961038346,122.87026850945693,11.143630226501495,70.8866368880076,80.84364460339306,54.29130390596739,80.84364460339306,11.143630226501495,0.6325288881663952,True,268.5240022058745,94.84092450396622,TOP,False,False,DOWN-DOWN-DOWN,2026-07-25,-4800.0,0.0,3621.0,-4800.0,0.0,28264.0,-4596.0,28264.0,32860.0,32860.0,0.0,True,0.30842238130990896,rising,middle,False,False,False,False,middle,UNSTABLE,TOP,False,False,False,True,False,False,False,False
2026-07-25,075,317.56072945447204,205.250244162002,351.36007534678765,263.3010706320939,230.13517662666092,254.38125758162803,93.27549414218726,293.0351305814225,235.83700628283566,137.15004832155986,147.7088576955102,30.275818444730767,105.0449081539336,147.7088576955102,30.275818444730767,0.3285961013840445,False,270.23915293171484,186.41589235056128,LEFT,True,True,UP-DOWN-UP,2026-07-26,5862.0,0.0,14310.0,-533.0,0.0,3621.0,-4800.0,-4800.0,8421.0,0.0,8421.0,False,-0.3039327867823507,falling,low,False,False,False,False,low,STABLE,LEFT,True,True,False,False,False,False,True,False
2026-07-26,075,92.56072945447158,222.125244162002,115.11007534678765,379.35038868614356,186.45121717661266,231.76171987077615,114.54605680480381,382.9246844522783,151.13745595042928,164.17297966105068,155.5286865902974,35.494187160205556,118.39861780385121,164.17297966105068,35.494187160205556,0.2537591833588606,False,331.3455976697327,150.71157664394858,TOP,False,False,UP-DOWN-UP,2026-07-27,-3378.0,0.0,1466.0,-7022.0,0.0,14310.0,-533.0,5862.0,14843.0,6395.0,8448.0,True,-0.07483691802518389,falling,low,False,False,False,False,low,STABLE,TOP,False,False,False,True,False,False,False,False
2026-07-27,075,227.56072945447158,239.00024416200188,238.86007534678765,226.5004227557523,122.79322478262493,219.01368188613907,141.33898048074064,219.0755766706103,141.10632506402095,19.999908581364284,0.24074780845057636,19.76102176772536,13.333892719180072,19.999908581364284,0.24074780845057636,0.9090913246301624,True,221.52989377083387,135.07951010912885,LEFT,False,False,DOWN-DOWN-DOWN,2026-07-28,-533.0,0.0,0.0,-4533.0,0.0,1466.0,-7022.0,-3378.0,8488.0,3644.0,4844.0,False,0.6553321412713018,rising,high,True,True,False,True,high,STABLE,LEFT,False,False,False,False,False,False,False,False
