scope,signal,low_band,sample_type,n,bullish_count,bullish_rate,non_bullish_count,non_bullish_rate,next_close_mean,next_close_median,next_close_min,next_close_max,next_high_mean,next_high_median,next_high_min,next_high_max,next_low_mean,next_low_median,next_low_min,next_low_max,intraday_range_mean,intraday_range_median,intraday_range_min,intraday_range_max,rebound_from_low_mean,rebound_from_low_median,rebound_from_low_min,rebound_from_low_max,bullish_rate_difference,close_mean_difference
All39,UP_UP_UP,D: Low < -10000,all_signal,52,14,0.2692307692307692,38,0.7307692307692307,-6552.942307692308,-10311.0,-28085.0,47135.0,3573.9423076923076,948.5,0.0,47396.0,-14521.576923076924,-13245.5,-28085.0,-10044.0,18095.51923076923,16361.0,10311.0,58975.0,7968.634615384615,5422.0,0.0,58714.0,,
All39,UP_UP_UP,GROUP_1: Low >= -5000,wall_group,160,143,0.89375,17,0.10625,13989.59375,13407.5,-4978.0,45561.0,17938.175,17500.0,690.0,46214.0,-2093.6125,-1999.5,-4978.0,0.0,20031.7875,18949.0,5490.0,46476.0,16083.20625,15422.5,0.0,45823.0,,
All39,UP_UP_UP,GROUP_2: Low < -5000,wall_group,143,73,0.5104895104895105,70,0.48951048951048953,1487.902097902098,172.0,-28085.0,47135.0,7733.160839160839,4138.0,0.0,47396.0,-9834.720279720279,-8681.0,-28085.0,-5067.0,17567.88111888112,15713.0,5511.0,58975.0,11322.622377622378,8213.0,0.0,58714.0,,
All39,RIGHT,A: Low >= -3000,all_signal,176,157,0.8920454545454546,19,0.10795454545454546,13472.28409090909,12408.0,-2844.0,53438.0,17722.63068181818,16120.5,786.0,53438.0,-1259.4772727272727,-1207.5,-2933.0,0.0,18982.107954545456,17456.5,1707.0,55333.0,14731.761363636364,13335.0,0.0,55333.0,,
All39,RIGHT,B: -5000 <= Low < -3000,all_signal,98,79,0.8061224489795918,19,0.19387755102040816,8801.540816326531,6897.0,-4711.0,35938.0,12471.642857142857,10130.0,0.0,40104.0,-3914.765306122449,-3822.0,-4978.0,-3013.0,16386.408163265307,14159.0,3548.0,44051.0,12716.30612244898,10953.0,0.0,39885.0,,
All39,RIGHT,C: -10000 <= Low < -5000,all_signal,173,88,0.5086705202312138,85,0.4913294797687861,2474.0462427745665,259.0,-9956.0,38205.0,7975.947976878612,5677.0,0.0,39231.0,-7198.289017341041,-6968.0,-9956.0,-5067.0,15174.236994219653,12704.0,5422.0,47023.0,9672.335260115608,7146.0,0.0,45997.0,,
All39,RIGHT,D: Low < -10000,all_signal,111,21,0.1891891891891892,90,0.8108108108108109,-7385.387387387387,-9778.0,-29872.0,47135.0,2596.612612612613,0.0,0.0,47396.0,-14637.846846846847,-13333.0,-29872.0,-10044.0,17234.45945945946,15601.0,10133.0,58975.0,7252.459459459459,4266.0,0.0,58714.0,,
All39,RIGHT,GROUP_1: Low >= -5000,wall_group,274,236,0.8613138686131386,38,0.1386861313868613,11801.726277372263,10086.0,-4711.0,53438.0,15844.540145985402,14310.5,0.0,53438.0,-2209.1788321167883,-2260.0,-4978.0,0.0,18053.718978102188,15951.5,1707.0,55333.0,14010.905109489051,12216.5,0.0,55333.0,,
All39,RIGHT,GROUP_2: Low < -5000,wall_group,284,109,0.38380281690140844,175,0.6161971830985915,-1379.4647887323943,-3529.5,-29872.0,47135.0,5873.461267605634,3405.0,0.0,47396.0,-10106.00352112676,-8622.0,-29872.0,-5067.0,15979.464788732394,14044.5,5422.0,58975.0,8726.538732394367,5733.5,0.0,58714.0,,
All39,LOW_CONVERGENCE_RIGHT,A: Low >= -3000,all_signal,133,119,0.8947368421052632,14,0.10526315789473684,13268.496240601504,11724.0,-2844.0,53438.0,17464.84962406015,15721.0,1207.0,53438.0,-1252.5338345864661,-1092.0,-2933.0,0.0,18717.38345864662,16729.0,3518.0,55333.0,14521.03007518797,12284.0,0.0,55333.0,,
All39,LOW_CONVERGENCE_RIGHT,B: -5000 <= Low < -3000,all_signal,72,54,0.75,18,0.25,8212.027777777777,5387.5,-4711.0,35938.0,12192.041666666666,9440.0,0.0,40104.0,-3898.1666666666665,-3784.0,-4978.0,-3013.0,16090.208333333334,13429.0,3548.0,44051.0,12110.194444444445,8544.5,0.0,39885.0,,
All39,LOW_CONVERGENCE_RIGHT,C: -10000 <= Low < -5000,all_signal,140,66,0.4714285714285714,74,0.5285714285714286,1650.7714285714285,-533.0,-9772.0,35128.0,7500.628571428571,5403.5,0.0,37179.0,-7224.971428571429,-7111.0,-9956.0,-5067.0,14725.6,12153.0,5422.0,42893.0,8875.742857142857,6178.0,0.0,40842.0,,
