scope,signal,low_band,sample_type,n,bullish_count,bullish_rate,non_bullish_count,non_bullish_rate,next_close_mean,next_close_median,next_close_min,next_close_max,next_high_mean,next_high_median,next_high_min,next_high_max,next_low_mean,next_low_median,next_low_min,next_low_max,intraday_range_mean,intraday_range_median,intraday_range_min,intraday_range_max,rebound_from_low_mean,rebound_from_low_median,rebound_from_low_min,rebound_from_low_max,machine
All39,RIGHT,GROUP_1: Low >= -5000,machine_wall,5,4,0.8,1,0.2,7874.8,3448.0,0.0,21875.0,13117.2,13448.0,5948.0,25500.0,-1568.2,-1600.0,-2667.0,0.0,14685.4,13448.0,7548.0,27652.0,9443.0,5684.0,1600.0,24027.0,047
All39,RIGHT,GROUP_2: Low < -5000,machine_wall,10,1,0.1,9,0.9,-8933.1,-9733.5,-22785.0,5284.0,1883.5,717.0,0.0,5677.0,-13049.7,-10666.5,-22785.0,-5921.0,14933.2,11674.0,9511.0,22785.0,4116.6,533.0,0.0,18667.0,047
All39,LOW_CONVERGENCE_RIGHT,GROUP_1: Low >= -5000,machine_wall,3,2,0.6666666666666666,1,0.3333333333333333,2155.0,3017.0,0.0,3448.0,8879.333333333334,6552.0,5948.0,14138.0,-1896.3333333333333,-1600.0,-2667.0,-1422.0,10775.666666666666,9219.0,7548.0,15560.0,4051.3333333333335,4870.0,1600.0,5684.0,047
All39,LOW_CONVERGENCE_RIGHT,GROUP_2: Low < -5000,machine_wall,7,1,0.14285714285714285,6,0.8571428571428571,-7093.857142857143,-9511.0,-15830.0,5284.0,1853.2857142857142,744.0,0.0,5677.0,-12974.714285714286,-11022.0,-21702.0,-5921.0,14828.0,11598.0,9511.0,22446.0,5880.857142857143,4356.0,0.0,18667.0,047
All39,DOWN_DOWN_DOWN,GROUP_1: Low >= -5000,machine_wall,1,1,1.0,0,0.0,3448.0,3448.0,3448.0,3448.0,9397.0,9397.0,9397.0,9397.0,-267.0,-267.0,-267.0,-267.0,9664.0,9664.0,9664.0,9664.0,3715.0,3715.0,3715.0,3715.0,047
All39,DOWN_DOWN_DOWN,GROUP_2: Low < -5000,machine_wall,6,0,0.0,6,1.0,-8770.5,-8800.0,-19556.0,-178.0,2183.8333333333335,1810.5,0.0,5172.0,-11215.0,-10933.5,-19556.0,-6222.0,13398.833333333334,11631.0,11198.0,21453.0,2444.5,0.0,0.0,10311.0,047
All39,UP_UP_UP,GROUP_1: Low >= -5000,machine_wall,4,4,1.0,0,0.0,14256.0,13636.0,7438.0,22314.0,18960.0,18767.0,15000.0,23306.0,-1429.25,-1071.5,-3574.0,0.0,20389.25,19660.5,15356.0,26880.0,15685.25,13814.0,9225.0,25888.0,048
All39,UP_UP_UP,GROUP_2: Low < -5000,machine_wall,3,1,0.3333333333333333,2,0.6666666666666666,-4060.3333333333335,-1956.0,-10311.0,86.0,1839.0,2241.0,0.0,3276.0,-12059.0,-10311.0,-15822.0,-10044.0,13898.0,13320.0,10311.0,18063.0,7998.666666666667,8355.0,5511.0,10130.0,048
All39,RIGHT,GROUP_1: Low >= -5000,machine_wall,8,8,1.0,0,0.0,16467.375,13636.0,5086.0,30769.0,20934.25,19588.5,8621.0,34615.0,-2101.375,-2449.0,-3574.0,0.0,23035.625,21193.0,11732.0,37732.0,18568.75,13814.0,8197.0,33886.0,048
All39,RIGHT,GROUP_2: Low < -5000,machine_wall,7,3,0.42857142857142855,4,0.5714285714285714,897.5714285714286,-3556.0,-10311.0,23058.0,5806.285714285715,2241.0,0.0,23058.0,-11260.714285714286,-10044.0,-15822.0,-8089.0,17067.0,14578.0,8089.0,31484.0,12158.285714285714,10130.0,2400.0,31484.0,048
All39,LOW_CONVERGENCE_RIGHT,GROUP_1: Low >= -5000,machine_wall,5,5,1.0,0,0.0,17845.6,14513.0,5086.0,30769.0,21618.8,18103.0,8621.0,34615.0,-2218.8,-3111.0,-3444.0,0.0,23837.6,19525.0,11732.0,37732.0,20064.4,14513.0,8197.0,33886.0,048
All39,LOW_CONVERGENCE_RIGHT,GROUP_2: Low < -5000,machine_wall,6,3,0.5,3,0.5,2765.6666666666665,-1735.0,-7822.0,23058.0,6400.5,1638.0,0.0,23058.0,-10500.5,-9288.5,-14578.0,-8089.0,16901.0,13955.5,8089.0,31484.0,13266.166666666666,10576.0,2400.0,31484.0,048
