date,machine,long_x,long_y,long_region,long_top_side,mid_x,mid_y,mid_region,mid_top_side,short_x,short_y,short_region,short_top_side,top_wave_count,top_wave_pattern,centroid_x,centroid_y,centroid_y_offset,centroid_region,bullish,next_day_bullish
2026-07-31,077,272.09736318153375,232.8990229778461,BOTTOM,False,321.78477183527264,234.21951559704877,BOTTOM,False,224.02745816773157,194.50459606179928,LEFT,False,0,NONE,272.63653106151264,220.54104487889808,30.541044878898077,BOTTOM,False,False
2026-08-01,077,314.3484582122662,235.2759897157696,BOTTOM,False,324.8302288817346,83.70032751289263,TOP,True,337.0132093631066,230.0151105016726,BOTTOM,False,1,MID,325.3972988190358,182.9971425767783,-7.0028574232217125,RIGHT,False,True
2026-08-02,077,361.3961535651114,214.545547860306,RIGHT,False,253.55105298644912,225.61216150854733,LEFT,False,314.9956202000691,81.3301497222649,TOP,True,1,SHORT,309.9809422505432,173.82928636370607,-16.170713636293925,TOP,True,True
2026-08-03,077,381.8490297964392,144.93988178886795,RIGHT,True,376.89805436437587,192.54802715896585,RIGHT,False,247.76776429033075,222.03082302292705,LEFT,False,1,LONG,335.5049494837153,186.50624399025364,-3.493756009746363,RIGHT,True,True
2026-08-04,077,320.0245443211572,82.38725199653288,TOP,True,225.51219748536292,124.62347367278032,LEFT,True,363.80549598563164,212.10307392355227,RIGHT,False,2,LONG+MID,303.1140792640506,139.7045998642885,-50.2954001357115,TOP,True,False
2026-08-05,077,234.01003976914794,111.58991739409187,TOP,True,307.54424267600353,235.80825982558346,BOTTOM,False,262.58067361830877,88.66979108926826,TOP,True,2,LONG+SHORT,268.04498535448676,145.35598943631453,-44.64401056368547,TOP,False,False
2026-08-06,077,222.4019002865773,190.96025086738229,LEFT,False,352.8896593430637,98.47658405816438,TOP,True,274.5350987830349,233.47900680539266,BOTTOM,False,1,MID,283.2755528042253,174.30528057697975,-15.694719423020246,LEFT,False,False
2026-08-07,077,266.87770067806713,231.39367379456422,BOTTOM,False,237.52835790466182,213.48427318982502,LEFT,False,381.9897594077334,176.9873508762191,RIGHT,True,1,SHORT,295.46527266348744,207.28843262020277,17.28843262020277,BOTTOM,False,False
2026-08-08,077,309.6756349158741,235.68107304962746,BOTTOM,False,364.10027704405405,211.78757390596544,RIGHT,False,225.78997054510376,124.09757728103303,LEFT,True,1,SHORT,299.85529416834396,190.52207474554197,0.5220747455419712,BOTTOM,False,False
2026-08-09,077,356.1600872104081,219.13054840416692,RIGHT,False,244.49275440746666,100.65779612952674,TOP,True,298.2077303609997,235.98936229552203,BOTTOM,False,1,MID,299.6201906596248,185.25923560973857,-4.7407643902614325,TOP,False,True
2026-08-10,077,383.2779475386027,154.29157489610816,RIGHT,True,293.94158068681355,235.8771288314439,BOTTOM,False,377.5780714877257,131.23609371763226,RIGHT,True,2,LONG+SHORT,351.59919990438067,173.80159914839479,-16.198400851605214,RIGHT,True,True
2026-08-11,077,330.27407903844744,85.5647935227984,TOP,True,372.9155239177937,121.76162898113633,RIGHT,True,216.8945823353312,170.07612275177848,LEFT,True,3,LONG+MID+SHORT,306.6947284305241,125.80084841857108,-64.19915158142892,TOP,True,False
2026-08-12,077,240.93728483098312,103.93127470844126,TOP,True,224.24076785903694,194.9352346913531,LEFT,False,321.4908794374229,234.27202611424607,BOTTOM,False,1,LONG,262.2229773758143,177.7128451713468,-12.2871548286532,LEFT,False,True
2026-08-13,077,219.5547646034757,183.08075227342823,LEFT,True,348.2289778307915,224.5894634421162,RIGHT,False,344.792795974544,92.75553426926521,TOP,True,2,LONG+SHORT,304.19217946960373,166.80858332826986,-23.19141667173014,TOP,True,False
2026-08-14,077,261.52745841446887,229.43664201330142,BOTTOM,False,271.85314373417896,84.7869834361711,TOP,True,232.36036488180383,207.67331681555916,LEFT,False,1,MID,255.24698901015054,173.96564742167723,-16.034352578322768,LEFT,False,False
2026-08-15,077,305.09644407604816,235.91334741488873,BOTTOM,False,279.8184034367724,234.49460564297664,BOTTOM,False,347.9041576523648,224.78112204229976,RIGHT,False,0,NONE,310.93966838839515,231.72969170005504,41.72969170005504,BOTTOM,False,True
2026-08-16,077,350.75984287496175,223.0155178926541,RIGHT,False,382.65569628612866,149.27961986541965,RIGHT,True,293.4925885687891,80.24885241763916,TOP,True,2,MID+SHORT,342.3027092432931,150.84799672523764,-39.152003274762365,RIGHT,True,False
2026-08-17,077,383.57106796745626,163.51541105974238,RIGHT,True,216.95661063732894,170.60213811815493,LEFT,True,258.69116906720865,228.20987593665706,LEFT,False,2,LONG+MID,286.4062825573313,187.44247503818477,-2.5575249618152327,LEFT,False,True
2026-08-18,077,339.98561997219684,89.98335835969144,TOP,True,332.0072420422412,231.7470500720122,BOTTOM,False,372.93456001364166,200.06441951128556,RIGHT,False,1,LONG,348.3091406760266,173.93160931432973,-16.068390685670266,RIGHT,True,True
2026-08-19,077,248.86327656117535,97.11317753705649,TOP,True,303.642283930964,80.07787976342613,TOP,True,244.96322567359738,100.25226647286651,TOP,True,3,LONG+MID+SHORT,265.82292872191226,92.4811079244497,-97.5188920755503,TOP,True,False
2026-08-20,077,217.56104393042807,174.6597865008353,LEFT,True,264.4124606466076,230.54723847011383,BOTTOM,False,284.36580293218856,235.1316274695083,BOTTOM,False,1,LONG,255.44643583640809,213.44621748015246,23.446217480152455,LEFT,False,True
2026-08-21,077,256.08708657679915,226.95712737585455,LEFT,False,382.09419887158396,176.47976236299877,RIGHT,True,383.56923937195165,159.13946317545387,RIGHT,True,2,MID+SHORT,340.5835082734449,187.52545097143573,-2.474549028564269,RIGHT,True,
