date,machine,open,high,low,close,bullish,next_day_bullish,wave1_phase,wave2_phase,wave3_phase,wave1_value,wave2_value,wave3_value,combined_wave,wave1_direction,wave2_direction,wave3_direction,wave1_up,wave2_up,wave3_up,wave_direction_pattern
2026-07-20,056,0.0,10172.0,-8533.0,8103.0,True,True,38.919015595576184,154.6328085515579,0.6269199467756152,-4300.376983639656,4600.399474030725,-4888.389265926557,-4588.366775535487,turning_up,rising,turning_up,True,True,True,UP-UP-UP
2026-07-21,056,0.0,36154.0,-2857.0,35641.0,True,True,190.79401559557573,182.7578085515578,141.25191994677562,5429.436061338481,5085.402069052756,3812.709697230295,14327.547827621533,turning_down,turning_down,turning_down,False,False,False,DOWN-DOWN-DOWN
2026-07-22,056,0.0,2586.0,-1067.0,517.0,True,False,342.6690155955762,210.88280855155767,281.87691994677607,-5276.293248188722,4369.448970886779,-1006.1396372664424,-1912.9839145683857,turning_up,falling,falling,True,False,False,UP-DOWN-DOWN
2026-07-23,056,0.0,5259.0,-6044.0,-1511.0,False,False,134.54401559557664,239.0078085515578,62.50191994677607,3877.1143636921297,2621.6178527674083,-2257.196782931188,4241.53543352835,turning_down,falling,turning_up,False,False,True,DOWN-DOWN-UP
2026-07-24,056,0.0,345.0,-12089.0,-8000.0,False,False,286.41901559557664,267.1328085515577,203.12691994677607,-1562.325955112296,254.67209181493934,4495.813054271546,3188.1591909741896,turning_up,falling,turning_down,True,False,False,UP-DOWN-DOWN
2026-07-25,056,0.0,8017.0,-5156.0,-1778.0,False,False,78.29401559557664,295.2578085515578,343.7519199467765,-1121.417400378363,-2172.416386352081,-4693.4241917019435,-7987.257978432388,rising,falling,turning_up,True,False,True,UP-DOWN-UP
2026-07-26,056,0.0,0.0,-12444.0,-5689.0,False,True,230.16901559557664,323.3828085515577,124.37691994677562,3540.329658320092,-4086.4725041003485,2760.3188702307225,2214.1760244504662,turning_down,falling,turning_down,False,False,False,DOWN-DOWN-DOWN
2026-07-27,056,0.0,2586.0,-4800.0,1121.0,True,True,22.04401559557664,351.5078085515579,265.00191994677607,-5123.166616572967,-5035.477608729863,425.91350909637845,-9732.730716206452,turning_up,turning_up,falling,True,True,False,UP-UP-DOWN
2026-07-28,056,0.0,10345.0,-4267.0,6207.0,True,False,173.91901559557664,19.632808551557673,45.62691994677607,5496.129501590519,-4795.317054477394,-3418.7900597505354,-2717.9776126374104,turning_down,rising,turning_up,False,True,True,DOWN-UP-UP
2026-07-29,056,0.0,3534.0,-1511.0,-1511.0,False,False,325.79401559557664,47.7578085515579,186.25191994677607,-4571.140341557044,-3422.7065505419964,4859.607398983191,-3134.239493115849,turning_up,rising,turning_down,True,True,False,UP-UP-DOWN
2026-07-30,056,0.0,776.0,-7378.0,-7378.0,False,True,117.66901559557664,75.88280855155767,326.87691994677607,2566.642237488976,-1241.7983226174067,-4094.2645775552937,-2769.420662683724,turning_down,rising,turning_up,False,True,True,DOWN-UP-UP
2026-07-31,056,0.0,13448.0,-7289.0,4310.0,True,True,269.54401559557664,104.0078085515579,107.50191994677607,43.987607124640796,1232.3698570451922,1470.2112355828447,2746.5686997526777,falling,rising,rising,False,True,True,DOWN-UP-UP
2026-08-01,056,0.0,8966.0,-4978.0,8879.0,True,False,61.41901559557664,132.13280855155767,248.12691994677607,-2644.2294496710897,3415.5046875575867,1821.2872700415203,2592.562507928017,turning_up,rising,turning_down,True,True,False,UP-UP-DOWN
2026-08-02,056,0.0,1897.0,-7556.0,-7556.0,False,True,213.29401559557664,160.2578085515579,28.75191994677607,4620.016751837467,4792.042567831859,-4285.959432220037,5126.099887449289,turning_down,rising,turning_up,False,True,True,DOWN-UP-UP
2026-08-03,056,0.0,13966.0,-6400.0,13966.0,True,True,5.169015595576639,188.38280855155767,169.37691994677607,-5504.752580511114,5036.903792909229,4804.895617547847,4337.046829945963,turning_up,turning_down,turning_down,True,False,False,UP-DOWN-DOWN
2026-08-04,056,0.0,8879.0,-2222.0,8621.0,True,False,157.04401559557664,216.5078085515579,310.00191994677607,5089.499959620967,4092.262555055204,-3142.509647142555,6039.252867533616,turning_down,falling,turning_up,False,False,True,DOWN-DOWN-UP
2026-08-05,056,0.0,0.0,-16711.0,-16711.0,False,False,308.91901559557664,244.63280855155767,90.62691994677607,-3472.3238980685715,2181.20294029021,53.48999652104337,-1237.6309612573182,turning_up,falling,rising,True,False,True,UP-DOWN-UP
2026-08-06,056,0.0,0.0,-6400.0,-3467.0,False,True,100.79401559557664,272.7578085515579,231.25191994677607,1035.13260520227,-244.9640452530353,3059.8129942203486,3849.9815541695834,rising,falling,turning_down,True,False,False,UP-DOWN-DOWN
2026-08-07,056,0.0,14310.0,-178.0,3276.0,True,True,252.66901559557664,300.8828085515577,11.87691994677607,1646.5129861721914,-2613.280941309083,-4784.024856255983,-5750.792811392875,turning_down,falling,turning_up,False,False,True,DOWN-DOWN-UP
2026-08-08,056,0.0,13628.0,-2523.0,6637.0,True,True,44.54401559557664,329.0078085515579,152.50191994677607,-3939.3222342641357,-4364.452018460511,4336.389451845713,-3967.3848008789337,turning_up,falling,turning_down,True,False,False,UP-DOWN-DOWN
2026-08-09,056,0.0,11724.0,-3200.0,3276.0,True,False,196.41901559557664,357.1328085515577,293.12691994677607,5301.83110486349,-5084.925143307755,-1920.1238960013045,-1703.21793444557,turning_down,turning_up,turning_up,False,True,True,DOWN-UP-UP
2026-08-10,056,0.0,0.0,-10311.0,-4622.0,False,True,348.29401559557573,25.2578085515579,73.75191994677607,-5412.272948461126,-4604.555204544921,-1367.837765124521,-11384.66591813057,turning_up,rising,rising,True,True,True,UP-UP-UP
2026-08-11,056,0.0,11724.0,-3378.0,10517.0,True,False,140.16901559557664,53.3828085515579,214.37691994677607,4244.566098547004,-3036.7851522003625,4034.829677892466,5242.610624239107,turning_down,rising,turning_down,False,True,False,DOWN-UP-DOWN
2026-08-12,056,0.0,16207.0,-2489.0,-2489.0,False,True,292.04401559557664,81.5078085515579,355.00191994677607,-2074.473252020313,-751.8555974207765,-4870.093271973652,-7696.422121414741,turning_up,rising,turning_up,True,True,True,UP-UP-UP
2026-08-13,056,0.0,18621.0,-3556.0,17241.0,True,False,83.91901559557664,109.6328085515579,135.62691994677607,-585.5219519897414,1710.6302740309086,3494.436338281884,4619.544660323051,rising,rising,turning_down,True,True,False,UP-UP-DOWN
2026-08-14,056,0.0,2759.0,-10133.0,-5867.0,False,False,235.79401559557573,137.75780855155767,276.25191994677607,3107.241772425402,3769.1380256326033,-532.378364231292,6344.001433826713,turning_down,rising,falling,False,True,False,DOWN-UP-DOWN
2026-08-15,056,0.0,1034.0,-13156.0,-13156.0,False,True,27.66901559557573,165.8828085515579,56.87691994677607,-4895.16323315711,4937.535672107838,-2671.3682568919476,-2628.9958179412197,turning_up,rising,turning_up,True,True,True,UP-UP-UP
2026-08-16,056,0.0,16207.0,-9956.0,12931.0,True,True,179.54401559557482,194.00780855155767,197.50191994677607,5527.055323129573,4939.897379788291,4662.369538949037,15129.3222418669,turning_down,falling,turning_down,False,False,False,DOWN-DOWN-DOWN
2026-08-17,056,0.0,6983.0,-4800.0,3017.0,True,True,331.41901559557664,222.1328085515579,338.12691994677607,-4853.692004238414,3775.6654137601895,-4536.752525203286,-5614.779115681509,turning_up,falling,turning_up,True,False,True,UP-DOWN-UP
2026-08-18,056,0.0,7686.0,-6447.0,6070.0,True,True,123.29401559557573,250.25780855155767,118.75191994677607,3034.0930551412866,1719.7818511312018,2351.5447136548432,7105.419619927332,turning_down,falling,turning_down,False,False,False,DOWN-DOWN-DOWN
2026-08-19,056,0.0,13054.0,-10588.0,13054.0,True,False,275.1690155955748,278.3828085515579,259.37691994677607,-497.9703624431045,-742.2410446542365,901.2152347931236,-338.99617230421734,falling,falling,falling,False,False,False,DOWN-DOWN-DOWN
2026-08-20,056,0.0,0.0,-10263.0,-4649.0,False,True,67.04401559557482,306.5078085515577,40.00191994677698,-2155.7517518336267,-3028.978172236602,-3744.8423081044766,-8929.572232174705,turning_up,falling,turning_up,True,False,True,UP-DOWN-UP
2026-08-21,056,0.0,2414.0,-9422.0,1379.0,True,False,218.91901559557482,334.6328085515579,180.62691994677698,4300.3769836396805,-4600.3994740307235,4888.389265926555,4588.366775535512,turning_down,falling,turning_down,False,False,False,DOWN-DOWN-DOWN
2026-08-22,056,0.0,0.0,-19022.0,-16178.0,False,True,10.79401559557482,2.757808551557673,321.251919946777,-5429.436061338494,-5085.402069052757,-3812.709697230384,-14327.547827621634,turning_up,turning_up,turning_up,True,True,True,UP-UP-UP
2026-08-23,056,0.0,17586.0,0.0,4310.0,True,False,162.66901559557664,30.8828085515579,101.87691994677698,5276.293248188735,-4369.448970886771,1006.1396372665806,1912.983914568544,turning_down,rising,rising,False,True,True,DOWN-UP-UP
2026-08-24,056,0.0,1552.0,-10844.0,-10844.0,False,False,314.54401559557664,59.00780855155767,242.50191994677516,-3877.1143636921024,-2621.6178527674106,2257.1967829311857,-4241.535433528327,turning_up,rising,turning_down,True,True,False,UP-UP-DOWN
2026-08-25,056,0.0,86.0,-9867.0,-8444.0,False,False,106.41901559557482,87.1328085515579,23.12691994677516,1562.3259551122594,-254.67209181492439,-4495.813054271545,-3188.15919097421,turning_down,rising,turning_up,False,True,True,DOWN-UP-UP
2026-08-26,056,0.0,9138.0,-6933.0,-6933.0,False,,258.2940155955748,115.2578085515579,163.75191994677516,1121.4174003784,2172.416386352078,4693.4241917019435,7987.257978432422,falling,rising,rising,False,True,True,DOWN-UP-UP
