date,machine,status,n_observations,n_fft,regime,long_k,long_frequency,long_period,long_rank,long_relative_power,mid_k,mid_frequency,mid_period,mid_rank,mid_relative_power,short_k,short_frequency,short_period,short_rank,short_relative_power,long_phase,long_wave_value,long_amplitude,long_x,long_y,long_region,long_top_side,mid_phase,mid_wave_value,mid_amplitude,mid_x,mid_y,mid_region,mid_top_side,short_phase,short_wave_value,short_amplitude,short_x,short_y,short_region,short_top_side,top_wave_count,top_wave_pattern,centroid_x,centroid_y,centroid_y_offset,centroid_region,phase_alignment_score,alignment_threshold_asof,high_alignment_asof,max_pair_distance,convergence_score,convergence_threshold_asof,phase_convergence_asof,bullish,next_day_bullish
2026-07-30,056,VALID,34,64,UNSTABLE,5,0.078125,12.8,1,0.10423634243642589,11,0.171875,5.818181818181818,3,0.06887279195722079,27,0.421875,2.3703703703703702,2,0.08085586570050166,80.47659322126901,-1370.4268877131924,8283.001656146676,371.7035619449671,202.0291762201395,RIGHT,False,98.71592242519728,1105.4735677914289,6732.897618665091,381.892379215617,177.44541338242982,RIGHT,True,40.69000161818485,-5105.2069539557615,7295.145057703696,335.0340893755249,230.74526655948029,BOTTOM,False,1,MID,362.8766768453697,203.4066187206832,13.406618720683213,RIGHT,0.9125941394523623,0.7775904723932706,True,70.96882185462299,0.6774144461153501,0.6190475361246355,True,False,True
2026-07-31,056,VALID,35,64,STABLE,5,0.078125,12.8,1,0.10412050096932415,11,0.171875,5.818181818181818,3,0.06880403542281263,27,0.421875,2.3703703703703702,2,0.08078926711468104,108.53061881654116,2555.2154706092256,8040.037315589418,383.5987004446169,161.9785805958278,RIGHT,True,250.69093156815597,2341.8193171215853,6535.772027558749,216.4015757546369,160.70939324492613,LEFT,True,102.45764118054831,1409.8822217204336,7082.176959630615,382.90399254676436,171.6849201701465,RIGHT,True,3,LONG+MID+SHORT,327.6347562486727,164.79096467030016,-25.209035329699844,RIGHT,0.43575195472402445,0.7325892500402401,False,167.20194179831887,0.23999117364400513,0.599591899461064,False,True,True
2026-08-01,056,VALID,36,64,STABLE,5,0.078125,12.8,1,0.1081636801847714,11,0.171875,5.818181818181818,3,0.07330638988420043,27,0.421875,2.3703703703703702,2,0.07655894476321966,137.30743452724414,5879.215426274601,7998.904421502878,368.8371442156355,115.38247678229644,TOP,True,43.91047526213788,-4848.150782056565,6585.074549201341,338.1071869895295,229.5847387401131,BOTTOM,False,164.6210890804232,6349.283332682652,6729.576728239002,328.86826328679905,85.04355385658621,TOP,True,2,LONG+SHORT,345.2708648306547,143.33692312633193,-46.663076873668075,TOP,0.6357064860795775,0.6875880276872093,False,144.83615515028964,0.34165384022595613,0.5801362627974923,False,True,False
2026-08-02,056,VALID,37,64,TRANSITION,5,0.078125,12.8,1,0.0913723563419077,8,0.125,8.0,3,0.07387239223656052,28,0.4375,2.2857142857142856,2,0.08425378428751701,165.7675808844299,6944.243395150923,7164.136574651379,326.802668124734,84.32834481923373,TOP,True,325.610346328438,-5676.995262002007,6441.6559548484665,270.8592864181553,232.57542924367664,BOTTOM,False,19.13712980471996,-6085.668559595056,6879.409350112586,315.65993252971487,235.12858414013618,BOTTOM,False,1,LONG,304.44062902420137,184.01078606768218,-5.989213932317824,TOP,0.2668982950761138,0.6772117193656829,False,158.45144365740524,0.2797661651936125,0.5674838539390997,False,False,True
2026-08-03,056,VALID,38,64,STABLE,5,0.078125,12.8,1,0.10028481531199353,8,0.125,8.0,3,0.06879875654534998,28,0.4375,2.2857142857142856,2,0.08920571251895927,191.79867455479393,7249.438270209419,7405.909442229817,277.6461680728912,82.98587468056999,TOP,True,126.64065398255934,4168.519636469468,6134.103538828452,377.910408628812,132.05280758564663,RIGHT,True,68.27307982410457,-2270.7424782670587,6984.85091582514,361.45446270144515,214.48915390143154,RIGHT,False,2,LONG+MID,339.00367980104943,143.17594538921605,-46.824054610783946,TOP,0.6484640808383529,0.6719384489476667,False,155.93890692956128,0.29118678668381237,0.5548314450807071,False,True,True
2026-08-04,056,VALID,39,64,STABLE,5,0.078125,12.8,1,0.10252370164159656,8,0.125,8.0,3,0.07050858826854599,28,0.4375,2.2857142857142856,2,0.0875333713169703,218.7068823847842,5710.381049872393,7317.668078865118,235.60825475745597,109.64574631851633,TOP,True,282.7399441519683,-1491.1031605614405,6068.503085298341,230.8033868976073,205.64482913873985,LEFT,False,114.59092810139668,2525.3275979120517,6761.5676133530005,383.0341663167437,151.99989236879733,RIGHT,True,2,LONG+SHORT,283.148602657269,155.76348927535116,-34.23651072464884,TOP,0.3986873840563352,0.6641136595778955,False,161.40628687758385,0.26633505964734616,0.5421790362223143,False,True,False
2026-08-05,056,VALID,40,64,STABLE,5,0.078125,12.8,1,0.08970861389632415,9,0.140625,7.111111111111111,3,0.06565513256509718,28,0.4375,2.2857142857142856,2,0.08443214285601358,256.1010107636173,1697.1797056771093,7065.3728841417815,216.8220970126235,169.4171072829887,LEFT,True,71.28438754929266,-2199.3912839713453,6044.388287257477,364.15064557608275,211.73328039852277,RIGHT,False,292.20612397664627,-2284.4145679691255,6854.439063618268,238.98230170933334,214.90846968279718,LEFT,False,1,LONG,273.31834809934657,198.68628578810288,8.686285788102879,LEFT,0.35146162591483127,0.6562888702081242,False,153.28522345274976,0.3032489843056829,0.5295266273639218,False,False,False
2026-08-06,056,VALID,41,64,STABLE,5,0.078125,12.8,1,0.09387049399587462,9,0.140625,7.111111111111111,3,0.0722371288375689,28,0.4375,2.2857142857142856,2,0.07935660761898317,286.7763953426081,-2036.9572466762836,7057.149938448531,234.16307878728202,209.84774626764423,LEFT,False,230.85092613639063,4096.564761870307,6190.775155342117,223.84307595994608,128.00056293713624,LEFT,True,343.39589453735334,-5932.632840264871,6488.679750717789,286.47388145714,235.36059054661314,BOTTOM,False,1,MID,248.1600120681227,191.06963325046453,1.069633250464534,LEFT,0.7034927179368577,0.6875880276872093,True,124.29317489522496,0.43503102320352294,0.5168742185055291,False,False,True
2026-08-07,056,VALID,42,64,STABLE,5,0.078125,12.8,1,0.0932466039048965,9,0.140625,7.111111111111111,3,0.0718010801106154,28,0.4375,2.2857142857142856,2,0.07878986095120714,314.76856742873974,-4835.942188000145,6866.8479588689515,260.62281681935303,229.06035183125476,LEFT,False,28.464938329279903,-5549.051866912229,6025.684777186746,323.7683752771142,233.8398564418072,BOTTOM,False,34.1730015589701,-4985.322236982852,6312.132212119833,328.9412333617674,232.6289266158003,BOTTOM,False,0,NONE,304.4441418194115,231.84304496295408,41.84304496295408,BOTTOM,0.8109862809560237,0.700311779886928,True,68.41155432275845,0.6890383894420071,0.5674838539390997,True,True,True
2026-08-08,056,VALID,43,64,STABLE,5,0.078125,12.8,1,0.08788214168315862,9,0.140625,7.111111111111111,3,0.07181198244610161,28,0.4375,2.2857142857142856,2,0.08277853181041052,342.61407456477673,-6227.6059325641045,6525.742585282668,285.8180637911641,235.29360117120865,BOTTOM,False,185.82241468696338,6300.74931028766,5898.995713131792,288.85774246547686,80.7317123627738,TOP,True,86.46378617247365,-363.846509830736,6333.422815027364,375.8815062474173,194.68925397188855,RIGHT,False,1,MID,316.85243750135277,170.23818916862368,-19.761810831376323,TOP,0.19940606959339688,0.6971308418369984,False,154.59177571421466,0.2973101103899334,0.5548314450807071,False,True,True
2026-08-09,056,VALID,44,64,STABLE,5,0.078125,12.8,1,0.08772235196852923,9,0.140625,7.111111111111111,3,0.0719308044876949,28,0.4375,2.2857142857142856,2,0.08262734109488543,10.754016303058279,-6259.827951750466,6371.732650769778,308.68813982537006,235.74425215878318,BOTTOM,False,343.30877034822333,-5923.375593069351,5769.788187913721,286.4009178108544,235.35332308607042,BOTTOM,False,137.1232225498702,4228.208918909079,6183.926232551254,369.02914117718615,115.6553923034633,TOP,True,1,SHORT,321.3727329378035,195.58432251610563,5.58432251610563,RIGHT,0.44649145270861174,0.6939499037870687,False,145.4476466991275,0.3388743331857842,0.5421790362223144,False,True,False
2026-08-10,056,VALID,45,64,TRANSITION,5,0.078125,12.8,1,0.09437203496259924,11,0.171875,5.818181818181818,3,0.06782727704533847,28,0.4375,2.2857142857142856,2,0.07568837733758049,36.860870038987514,-5177.676541876773,6471.331033386548,331.43158009714625,231.9225330362565,BOTTOM,False,138.69546668182193,4353.604956690082,5486.231728824465,367.3518308338552,113.34725222182827,TOP,True,349.2038618864631,-5389.1247606007255,5795.441863032413,291.27740914701235,235.7421728812364,BOTTOM,False,1,MID,330.020273359338,193.67065271310707,3.6706527131070743,RIGHT,0.49596716772060473,0.690768965737139,False,144.1104931578905,0.34495230382777053,0.5295266273639219,False,False,True
2026-08-11,056,VALID,46,64,UNSTABLE,5,0.078125,12.8,1,0.09050077080602154,6,0.09375,10.666666666666666,3,0.06699981362810174,28,0.4375,2.2857142857142856,2,0.07107273369540708,67.74225044834816,-2360.8085819513262,6232.766347946412,360.97052906122684,214.9533293648847,RIGHT,False,293.1671983474789,-2172.9905710294656,5362.798814898597,239.86397233934866,215.73359237232987,LEFT,False,220.4553541277105,4080.616877625358,5523.396463156739,233.5901907166409,112.1213035555201,TOP,True,1,SHORT,278.14156403907214,180.9360750975782,-9.063924902421803,LEFT,0.21427523390075712,0.6875880276872093,False,163.70759337562512,0.2558745755653403,0.5168742185055291,False,True,False
2026-08-12,056,VALID,47,64,TRANSITION,5,0.078125,12.8,1,0.08905004137482166,9,0.140625,7.111111111111111,3,0.06877884733695121,28,0.4375,2.2857142857142856,2,0.07108312863652509,93.89904732018022,411.6822473616771,6054.266283060687,379.99038395379944,184.5481389125493,RIGHT,True,88.17081184797644,-172.65918776257925,5320.738343973145,376.9393361106499,192.457150543264,RIGHT,False,288.8982768889023,-1723.3284380134833,5409.133783663225,236.01033463114268,211.90640932682044,LEFT,False,1,LONG,330.980018231864,196.30389959421123,6.303899594211231,RIGHT,0.3632577029700723,0.679763238317438,False,146.5562334498777,0.3338353025005558,0.5055416839597401,False,False,True
2026-08-13,056,VALID,48,64,TRANSITION,5,0.078125,12.8,1,0.09738842082135106,11,0.171875,5.818181818181818,3,0.07336611425754644,28,0.4375,2.2857142857142856,2,0.07563124369055386,125.6259628050957,3667.2932559223395,6295.875841609969,378.55233283487155,133.70819648277558,RIGHT,True,240.28674677705658,2750.0248544820975,5464.49775609034,218.48004405191568,143.4768433006875,LEFT,True,175.47918323909653,5447.496403554301,5548.212852629816,308.6624946544813,80.44148602849218,TOP,True,3,LONG+MID+SHORT,301.8982905137562,119.20884193731843,-70.79115806268157,TOP,0.6917229109688582,0.6900689576561986,True,160.37008479410093,0.2710450691177231,0.4942091494139511,False,True,False
2026-08-14,056,VALID,49,64,STABLE,5,0.078125,12.8,1,0.08602439590606693,11,0.171875,5.818181818181818,3,0.06773509864522309,28,0.4375,2.2857142857142856,2,0.08383134587678683,152.89274765758205,5182.104139109437,5821.574162039441,348.5206816162449,95.21186209464622,TOP,True,35.35605747495265,-4687.001096790334,5165.787088137918,330.033222965704,232.32956564594457,BOTTOM,False,241.16146638831606,2491.6808023427016,5746.889384101467,218.1526000096523,144.9323026255808,LEFT,True,2,LONG+SHORT,298.9021681972004,157.49124345539053,-32.50875654460947,TOP,0.19299841772533927,0.6892419809998689,False,141.9702622963163,0.35468062592583505,0.48287661486816214,False,False,False
2026-08-15,056,VALID,50,64,TRANSITION,6,0.09375,10.666666666666666,1,0.07995754921872092,11,0.171875,5.818181818181818,2,0.07621013687562773,27,0.421875,2.3703703703703702,3,0.07086137876393282,354.364503833571,-5546.881067383276,5573.820714321012,295.4676374284958,235.93158702677763,BOTTOM,False,308.4483620322162,-3383.6596465636967,5441.637770030274,254.49623532331947,226.12841831188985,LEFT,False,31.94479156986199,-4452.559701268138,5247.205309048436,326.9027842969774,233.1459097494407,BOTTOM,False,0,NONE,292.28888568293087,231.7353050293694,41.735305029369414,BOTTOM,0.8301907539130338,0.6940768723624582,True,72.74581445245373,0.6693372070343012,0.5295266273639219,True,False,True
2026-08-16,056,VALID,51,64,UNSTABLE,5,0.078125,12.8,2,0.07446726518005997,20,0.3125,3.2,3,0.07131520685923999,27,0.421875,2.3703703703703702,1,0.08133332188784845,183.5162327012149,5557.6059930548545,5327.881383747637,293.2572491727332,80.26720692541518,TOP,True,207.68377597593576,4717.973313999833,5213.902652094269,250.59684286100705,95.83607606941145,TOP,True,160.57710646822852,4917.178731920671,5568.088128023413,335.9735854653315,87.97759917339135,TOP,True,3,LONG+MID+SHORT,293.2758924996906,88.02696072273932,-101.97303927726068,TOP,0.9444466033577366,0.7034927179368577,True,85.73764538900255,0.6102834300499884,0.5801362627974923,True,True,True
2026-08-17,056,VALID,52,64,STABLE,5,0.078125,12.8,2,0.07457988678838387,20,0.3125,3.2,3,0.07127948707602628,27,0.421875,2.3703703703703702,1,0.08103413391498335,335.34472355556954,-4954.20625249174,5229.574365191597,279.5937632878188,234.45771785351803,BOTTOM,False,235.69201241355427,2947.6036206925182,5112.55232825967,220.67194118235622,135.86986043440288,LEFT,True,272.9525628538513,-263.34316681936644,5451.166918203321,223.74964755628332,193.932810692319,LEFT,False,1,MID,241.33845067548611,188.08679632674662,-1.9132036732533777,LEFT,0.7588927661344368,0.7478127564949211,True,114.85358832321937,0.4779382348944574,0.5674838539390997,False,True,True
2026-08-18,056,VALID,53,64,UNSTABLE,5,0.078125,12.8,2,0.07409015415747344,6,0.09375,10.666666666666666,3,0.0705879137129691,27,0.421875,2.3703703703703702,1,0.08316533117213057,128.23610373655993,3357.8467742590788,5120.908897998828,376.82253578024324,129.46820190010587,RIGHT,True,262.38087960030384,678.9667946427015,4998.41111470345,218.48330357236836,179.0956617000804,LEFT,True,99.5732391998622,831.2767814266965,5425.4774298505945,382.1615074118102,176.14289058108923,RIGHT,True,3,LONG+MID+SHORT,325.82244892147395,161.56891806042518,-28.431081939574824,TOP,0.4015707087142977,0.7367327468554052,False,165.93431598791557,0.24575310914583837,0.5548314450807071,False,True,True
2026-08-19,056,VALID,54,64,UNSTABLE,6,0.09375,10.666666666666666,2,0.0785132717828287,11,0.171875,5.818181818181818,3,0.07556510411721012,27,0.421875,2.3703703703703702,1,0.08063852042054298,276.298327507704,-578.9177538386634,5207.023455848003,225.96017591453483,198.1718850838391,LEFT,False,135.7098943984522,3727.256811028106,5108.326397397446,370.46183907699015,117.77012083259216,TOP,True,196.48906027180237,4898.241088365325,5277.026456955197,269.1519833635458,85.78577644193905,TOP,True,2,MID+SHORT,288.52466611835695,133.90926078612344,-56.09073921387656,TOP,0.5562767446212421,0.7256527372158895,False,165.36376371934932,0.24834652854841222,0.5421790362223144,False,True,False
